,song,surprise,Album,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Unnamed: 0,venue_name,state,date,names
130,question,surprise song,Midnights (The Til Dawn Edition),0.741,0.509,7.0,-8.747,1.0,0.19,0.205,0.0,0.262,0.113,108.978,67.0,1,1,1,1,1
131,ready for it,normal song,reputation,0.613,0.764,2.0,-6.509,1.0,0.136,0.0527,0.0,0.197,0.417,160.015,85.0,52,52,52,52,52
132,red,surprise song,Red (Taylor's Version),0.516,0.777,1.0,-4.908,0.0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,81.0,4,4,4,4,4
133,right where you left me  bonus track,not sang yet,evermore (deluxe version),0.581,0.619,10.0,-6.524,1.0,0.0282,0.769,0.000106,0.117,0.645,137.915,81.0,0,0,0,0,0
134,ronan,not sang yet,Red (Taylor's Version),0.623,0.279,0.0,-10.802,1.0,0.031,0.661,0.0,0.193,0.38,116.04,65.0,0,0,0,0,0
135,run,not sang yet,Red (Taylor's Version),0.61,0.488,3.0,-6.918,1.0,0.0293,0.817,0.0,0.312,0.443,125.039,72.0,0,0,0,0,0
136,sad beautiful tragic,surprise song,Red (Taylor's Version),0.601,0.406,7.0,-11.827,1.0,0.0275,0.622,9.19e-05,0.133,0.232,130.059,72.0,1,1,1,1,1
137,safe  sound,not sang yet,Other,0.41,0.312,7.0,-11.01,1.0,0.0269,0.783,6.36e-06,0.0783,0.22,144.751,74.0,0,0,0,0,0
138,seven,normal song,folklore (deluxe version),0.602,0.494,4.0,-10.813,1.0,0.0277,0.888,2.59e-05,0.0902,0.374,94.955,74.0,53,53,53,53,53
139,shake it off,normal song,1989 (Deluxe),0.647,0.8,7.0,-5.384,1.0,0.165,0.0647,0.0,0.334,0.942,160.078,87.0,52,52,52,52,52
140,shouldve said no,surprise song,Taylor Swift,0.476,0.777,4.0,-3.771,0.0,0.0289,0.0103,0.0,0.196,0.472,167.964,71.0,1,1,1,1,1
141,snow on the beach,surprise song,Midnights (The Til Dawn Edition),0.653,0.331,9.0,-13.534,1.0,0.039,0.705,0.0013,0.116,0.166,110.014,68.0,1,1,1,1,1
142,so it goes,not sang yet,reputation,0.574,0.61,2.0,-7.283,1.0,0.0732,0.122,1.1e-06,0.13,0.374,74.957,77.0,0,0,0,0,0
143,soon youll get better,not sang yet,Lover,0.433,0.182,0.0,-12.566,1.0,0.0641,0.907,0.0,0.123,0.421,207.476,74.0,0,0,0,0,0
144,sparks fly,surprise song,Speak Now (Taylor's Version),0.588,0.758,5.0,-2.347,1.0,0.0305,0.0251,0.0,0.131,0.387,114.991,85.0,1,1,1,1,1
145,speak now,surprise song,Speak Now (Taylor's Version),0.727,0.677,7.0,-2.871,1.0,0.0325,0.248,0.0,0.143,0.639,118.995,85.0,1,1,1,1,1
146,starlight,surprise song,Red (Taylor's Version),0.628,0.685,4.0,-5.864,1.0,0.0358,0.00324,0.0,0.18,0.605,126.014,70.0,1,1,1,1,1
147,state of grace,surprise song,Red (Taylor's Version),0.594,0.713,9.0,-5.314,1.0,0.0503,0.000328,0.0,0.114,0.328,129.958,73.0,1,1,1,1,1
148,stay beautiful,not sang yet,Taylor Swift,0.594,0.629,8.0,-4.919,1.0,0.0246,0.0868,0.0,0.137,0.504,131.597,61.0,0,0,0,0,0
149,stay stay stay,surprise song,Red (Taylor's Version),0.693,0.681,0.0,-7.039,1.0,0.025,0.0848,0.0,0.0768,0.663,100.02,72.0,1,1,1,1,1
150,style,normal song,1989 (Deluxe),0.588,0.791,7.0,-5.595,1.0,0.0402,0.00245,0.00258,0.118,0.487,94.933,91.0,52,52,52,52,52
151,superman,not sang yet,Speak Now (Taylor's Version),0.533,0.742,7.0,-3.473,1.0,0.0303,0.0031,0.0,0.108,0.356,131.93,78.0,0,0,0,0,0
152,superstar,not sang yet,Fearless (Taylor's Version),0.454,0.555,2.0,-6.69,1.0,0.0283,0.157,0.0,0.343,0.171,171.862,66.0,0,0,0,0,0
153,sweet nothing,not sang yet,Midnights (The Til Dawn Edition),0.335,0.166,0.0,-14.958,1.0,0.048,0.967,0.00012,0.115,0.391,175.917,66.0,0,0,0,0,0
154,teardrops on my guitar,surprise song,Taylor Swift,0.621,0.417,10.0,-6.941,1.0,0.0231,0.288,0.0,0.119,0.289,99.953,70.0,1,1,1,1,1
155,tell me why,not sang yet,Fearless (Taylor's Version),0.578,0.909,7.0,-3.669,1.0,0.0628,0.0222,0.0,0.333,0.541,100.023,69.0,0,0,0,0,0
